web_link,status_idle_in_work_done,collaborator_github_account,description
https://github.com/Sefaria/Sefaria-Export,done,Otnielush,Structured Jewish texts
https://judaism.stackexchange.com,idle,,Mi Yodeya is a popular Q&A site where you can ask questions related to Jewish law
http://www.shut-halacha.co.il/,idle,,qa site that gives a few answers with sources - can be perfect complete source for q+a
https://www.kipa.co.il/%D7%A9%D7%90%D7%9C-%D7%90%D7%AA-%D7%94%D7%A8%D7%91/,idle,,q + a site
https://ask-dh.org/,idle,,q + a site
https://www.doresh-tzion.co.il/QASearchResult.aspx?,idle,,q + a site
https://mechon-mamre.org/,idle,,bible in russian and francis
https://www.aish.com/atr/,idle,,"Aish HaTorah offers an ""Ask the Rabbi"" section where users can submit questions on various Jewish topics"
https://www.dinonline.org/,idle,,DinOnline is a website dedicated to providing Halachic responses and insights. Users can submit questions
https://www.yeshiva.org.il/ask,idle,,"eshiva.org.il offers a ""Questions and Answers"" section in Hebrew"
https://www.chabad.org/asktherabbi/,idle,,"Chabad.org has an ""Ask the Rabbi"" section where users can submit questions on various Jewish topics"
https://jewishlaw.co.il/,idle,,This website provides answers to Halachic questions
